Breed,Color,Sex,RaiserState,GoodAppetite,FoodType,ExerciseType,GeneralComments,dog_SubStatusCode
Labrador Retriever,Black,M,NY,Yes,IAMS/Lamb & Rice,"walking,running,playing,stairs","We feel that his first moments in a social setting are still chaotic.  He is able to calm down and follow direction after a few minutes.  Although we recognize there is work to be done on ""both"" ends of the leash, we are impressed with the progress Latham has made in the past two months.  He really is great fun.",0
Labrador Retriever,Black,M,NY,Yes,Iams. Lamb & rice,Walking / outside play,,0
Labrador Retriever,Black,F,MA,Yes,Iams Puppy,play time outside weather permitting if not in the basement,,0
Labrador Retriever,Black,F,MA,Yes,Iams Puppy,play time outside weather permitting if not in the basement,,0
Labrador Retriever,Black,F,MA,Yes,Iams Lamb and Rice,"walks , playing in the yard with myself and other dogs",Lennox is being finished by a fellow raiser Allison Arey who is in the NCT region due to a family medical issue.,0
Labrador Retriever,Black,F,MA,Yes,Iams Lamb and Rice,"walks , playing in the yard with myself and other dogs",Lennox is being finished by a fellow raiser Allison Arey who is in the NCT region due to a family medical issue.,0
Labrador Retriever,Black,F,MD,Yes,Iams,Walks at least 2 times daily ---- plays in yard with another pup.,"Kona is a ""crazy"" pup, a bit high strung, with so much energy.  Saying that sounds somewhat negative, but she's still only 8 months old ........ and is very, very sweet ...... who can resist?!",0
Labrador Retriever,Black,F,MD,Yes,Iams,Walks at least 2 times daily ---- plays in yard with another pup.,"Kona is a ""crazy"" pup, a bit high strung, with so much energy.  Saying that sounds somewhat negative, but she's still only 8 months old ........ and is very, very sweet ...... who can resist?!",0
Labrador Retriever,Black,F,MD,Yes,Iams,"Walks at least 2 times daily .... plays in fenced back yard with another pup, sometimes more than one.","Kona continues to be a bit of a high energy pup, but wants and is working towards, pleasing whomever she's with.  She is very, very sweet!!!",0
Labrador Retriever,Black,F,MD,Yes,Iams,"Walks at least 2 times daily .... plays in fenced back yard with another pup, sometimes more than one.","Kona continues to be a bit of a high energy pup, but wants and is working towards, pleasing whomever she's with.  She is very, very sweet!!!",0
Labrador Retriever,Black,M,NY,Yes,Iams Adult,plays with Charlie at least 1 hour,,0
Labrador Retriever,Black,M,NY,Yes,Iams Large Breed,2 walks and play with family dog, Klondike has improved and is maturing into a nice dog. ,0
Labrador Retriever,Black,M,NY,Yes,Iams large breed,"walking, hiking, playing with other dogs, playing ball",Improving,0
Labrador Retriever,Black,F,CT,Yes,Iams Puppy lamb & rice; ready to switch to adult food,walks; run in field; walks & runs on treadmill,"Koala visits schools, walks in the mall, goes to church with us on Sundays, and visits the town library. She is an outgoing girl who approaches life with gusto.",0
Labrador Retriever,Black,F,CT,Yes,Blue Buffalo,"treadmill, walk, run",Koala is a hoot! She has a great disposition and she's very smart. It's been a pleasure to raise her.,0
Labrador Retriever,Black,F,NY,Yes,Iams large breed puppy chow,"at least 2 1/2 mile walks a day, plus fetch inside","Advice about transitions right on - that has made things easier.  Sometimes after play, we kennel for a few minutes before letting her out again.  Also, we bought more toys, and started rotating.  That seems to keep things interesting for her.",0
Labrador Retriever,Black,F,VA,Yes,Iams Puppy Chow,"walks an hour a day, plays in house with family pet","Kinder is a very high spirited and high energy Lab. Very loving , very smart  but also very head strong. ",0
Labrador Retriever,Black,F,VA,Yes,Iams,walks & plays with other dog,"Kinder is still very high energy and sometimes hesitates when given a command, like she has to think about it first.",0
Labrador Retriever,Black,F,VA,Yes,Iams Puppy Chow,"walks, outside play time with family dog",Kinder is very high energy but she has learned to settle and has copied the sleep patterns of our 10 year old Golden. She enjoys learning new commands.,0
Labrador Retriever,Black,M,VA,Yes,Iams,"on leash walks, off leash in backyard with my dog. ball and wrestling",,0
Labrador Retriever,Black,M,VA,Yes,Iams,"on leash walks, off leash in backyard with my dog. ball and wrestling",,0
Labrador Retriever,Black,M,Va,Yes,Iams,"Swims, ball playing, walking, running with my other dog and tug of war with my other dog60",Great dog. I am working with Keebler on his pulling and leaping at other dogs. I am getting great training and advice from Jodi and Julie Albany at our bi weekly classes. Because he has not been neutered he tries to hump my dog Gus and other dogs if he has the chance. I am controlling his attempts at Gus by body blocking until Keebler gets the message.,0
Labrador Retriever,Black,M,Va,Yes,Iams,"Swims, ball playing, walking, running with my other dog and tug of war with my other dog60",Great dog. I am working with Keebler on his pulling and leaping at other dogs. I am getting great training and advice from Jodi and Julie Albany at our bi weekly classes. Because he has not been neutered he tries to hump my dog Gus and other dogs if he has the chance. I am controlling his attempts at Gus by body blocking until Keebler gets the message.,0
Labrador Retriever,Black,M,VA,Yes,Iams puppy,walks and plays with our other dog,Keebler is a very well adjusted puppy. Look forward to see his growth in both intelligence and size. We are enjoying our puppy raising,0
Labrador Retriever,Black,M,VA,Yes,Iams puppy,walks and plays with our other dog,Keebler is a very well adjusted puppy. Look forward to see his growth in both intelligence and size. We are enjoying our puppy raising,0
Labrador Retriever,Black,F,MD,Yes,Iams Lamb & Rice,"Daily walk, training - walking, agility, playing ball; playing with other retired guide",Karina had weekly 7 overnights in her swap. She also was with a GEB puppy sitter two times in the past 3 months.  Most,0
Labrador Retriever,Black,F,MD,Yes,Iam's Puppy Food,"Walking (1 + hour) and training; Playing - including fetch, ""zoomies"", romping, and interaction w/ family dog playing  (Recently, due to snow, ice and freezing temperatures, outside exercise has been less.)","Karina is doing well (and a delightful addition to our family).  We (think) we  are improving as raisers as each GEB has taught us new things.  Karina's primary raiser is Trevor (17 year old student), who she adores.  She has done exceptionally well given that she arrived during the Christmas holiday season - a more chaotic time with many visitors, changing schedules and busier family time.  She settled right in, made her place in our home and with the other dogs and is progressing well with her commands.  We will schedule her  swap in the near future, and she will be scheduled for an overnight in February with a GEB sitter as we will be out of town and unfortunately can't take her with us.  She is socialized at school and work, as well as related events and has done very well.  She is gradually getting many new experiences, somewhat limited by the weather and ability to be outside (since she is still small.)  ",0
Labrador Retriever,Black,F,MD,Yes,Iams Lamb & Rice,"Daily walks, playing/running,",,0
Labrador Retriever,Black,M,NY,Yes,Iams,"Tug, Fetch, Walks, Rough Housing (helping with energy management)","Keeper is an incredibly smart and incredibly high energy dog.  This combination can be challenging for him, but when he is in the green zone he is very eager to please.  He learns commands very rapidly and is now showing great progress auto settling on leash at times when we are otherwise engaged, such as dinner time, etc.  We are beginning to see really impressive results from him as we get better at managing his energy levels.  ",0
Labrador Retriever,Black,M,NY,Yes,Iams,"Tug, Fetch, Walks, Rough Housing (helping with energy management)","Keeper is an incredibly smart and incredibly high energy dog.  This combination can be challenging for him, but when he is in the green zone he is very eager to please.  He learns commands very rapidly and is now showing great progress auto settling on leash at times when we are otherwise engaged, such as dinner time, etc.  We are beginning to see really impressive results from him as we get better at managing his energy levels.  ",0
Labrador Retriever,Black,M,NY,Yes,Iams,"Walks, tug of war, fetch, Keeper in the middle","Keeper is extremely intelligent, confident, and friendly.  When we have issues it is usually because he is either interested in something (or more often, someone) or just needs to burn off energy.  ",0
Labrador Retriever,Black,M,NY,Yes,Iams,"Walks, tug of war, fetch, Keeper in the middle","Keeper is extremely intelligent, confident, and friendly.  When we have issues it is usually because he is either interested in something (or more often, someone) or just needs to burn off energy.  ",0
Labrador Retriever,Yellow,F,NY,Yes,Iams Lamb & Rice,"Yard play, walking, tug games.","Judy has improved greatly in the past three months. She has also had her first heat cycle which helped calm her down. Dog distractions are still a big problem for her, but we are really trying to expose her to more dogs at street fairs, etc.  We got a new puppy and other than a bit of jealousy and humping behavior it is going well. Settling is still a bit of a struggle but I've started bringing a ""go place"" mat with us so that she is less distracted by smells.",0
Labrador Retriever,Yellow,F,NY,Yes,Iams Puppy Food,"Walks, playing with toys, balls, etc.","Judy is nipping a lot and jumping on furniture. We have tried the suggested methods to discourage this, but it doesn't seem to be helping. Other than that, she is a fantastic puppy!",0
Labrador Retriever,Yellow,F,NY,Yes,Iams Lamb & Rice,"Walks, hikes, outdoor fetch, playing with other dogs outside.","Judy is doing wonderfully, but we need more help socializing her with other dogs. She needs more practice with healthy, well-behaved dogs, and I don't know many people other than GEB people with well-behaved friendly dogs!",0
Labrador Retriever,Yellow,F,ME,Yes,Iams,"Two walks most days of 30-45 min, daily play time with my dogs, play dates with other GEB dogs about once a week, trips to other places, 2 to 4 times per week",,0
Labrador Retriever,Yellow,F,ME,Yes,Iams,"Short and longer walks, visits to training sites, play sessions (supervised)",,0
Labrador Retriever,Yellow,F,ME,Yes,Low res to Canidae,"Short walks, play time with me, play time with my dogs.",,0
Labrador Retriever,Yellow,F,OH,Yes,Taste of the Wild Grain Free,"Walking, Outings",Awaiting sitter comments.,0
Labrador Retriever,Yellow,F,OH,Yes,Taste of the Wild Grain Free,"Walking, Outings",Awaiting sitter comments.,0
Labrador Retriever,Yellow,F,OH,Yes,IAMS Low Residue,"Outdoor on 25' lead, indoor toys, walks","Jillian's biggest problem areas are walking on a lead, playbiting people, and going after a houseplant in my living room.  I think the latter two things will be worked out with age and patience. Walking outside is so exciting for her with all the sensory stimulation and things on the ground that check ins are not as exciting. Have just started higher value treats since her stomach cannot tolerate other than LR. Her housemanners are very good as I can feed my other dog in her sight and she will stay back and she is learning to stay away from the dishwasher while loading and unloading and staying away from the vacuum.  She doesn't seem to be fearful of anything.",0
Labrador Retriever,Yellow,F,OH,Yes,IAMS Low Residue,"Outdoor on 25' lead, indoor toys, walks","Jillian's biggest problem areas are walking on a lead, playbiting people, and going after a houseplant in my living room.  I think the latter two things will be worked out with age and patience. Walking outside is so exciting for her with all the sensory stimulation and things on the ground that check ins are not as exciting. Have just started higher value treats since her stomach cannot tolerate other than LR. Her housemanners are very good as I can feed my other dog in her sight and she will stay back and she is learning to stay away from the dishwasher while loading and unloading and staying away from the vacuum.  She doesn't seem to be fearful of anything.",0
Labrador Retriever,Yellow,F,OH,Yes,Taste of the Wild Grain Free,Walking,Jillian has totally overcome her fear of steps.  Her biggest challenges are sniffing and not picking up and eating things off the ground.,0
Labrador Retriever,Yellow,F,OH,Yes,Taste of the Wild Grain Free,Walking,Jillian has totally overcome her fear of steps.  Her biggest challenges are sniffing and not picking up and eating things off the ground.,0
Labrador Retriever,Yellow,F,OH,Yes,Iams puppy,play time with other dog,"Jessa does really well for her age, but is easily distracted.  ",0
Labrador Retriever,Yellow,F,OH,Yes,Iams puppy,play time with other dog,"Jessa does really well for her age, but is easily distracted.  ",0
Labrador Retriever,Yellow,M,NY,Yes,Iams," Walk per day, except when too cold",,0
Labrador Retriever,Yellow,M,NY,Yes,Iams," Walk per day, except when too cold",,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,Walk &  running around the yard,,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,Walk &  running around the yard,,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,"Walking, Running, Hiking",Besides pooping peeing and marking while walking without warning Jayden has made huge improvements since we got him 3 months ago.,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,"Walking, Running, Hiking",Besides pooping peeing and marking while walking without warning Jayden has made huge improvements since we got him 3 months ago.,0
Labrador Retriever,Black,M,NY,Yes,Iams Puppy and Loyal Lamb and Rice,"Playing outside, walking, fetch, playing with other dogs",He is a very sweet puppy. Working on going inside low key environments such as post office and local hardware store. Baby steps.,0
Labrador Retriever,Black,M,NY,Yes,Loyall,"Playing ball, with other dog",,0
Labrador Retriever,Black,M,NY,Yes,Loyall,"Playing with other dog, water, fetch, running","He has been able to mature a lot in the past month.  We have spent time many different places to include a cottage on Keuka Lake with extended family (kids, pets and craziness). In addition to state fair at the Cynology booth and dog show we spent over a week here.  This gave him plenty of exposure to new environments, people and animals. We went everywhere from the fair to the mall to hiking.  We felt that this was really fantastic for him!  He has been an easier dog to take on outings.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, fetch, run on long line, lot of stairs","Irish is very intelligent and willing to learn. He has been on various exposures and has adapted easily to most new situations. He does get very animated when greeting people, esp. children, and other dogs.  We are working on staying in a sit position for people greets.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, fetch, run on long line, lot of stairs","Irish is very intelligent and willing to learn. He has been on various exposures and has adapted easily to most new situations. He does get very animated when greeting people, esp. children, and other dogs.  We are working on staying in a sit position for people greets.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, fetch, run on long line, lot of stairs","Irish is very intelligent and willing to learn. He has been on various exposures and has adapted easily to most new situations. He does get very animated when greeting people, esp. children, and other dogs.  We are working on staying in a sit position for people greets.",0
Labrador Retriever,Black,M,MD,Yes,Iams Lamb and Rice,walking/fetching/running,"Irish is a very sweet, intelligent pup and wants to please. He gets very excited when people/children are in close proximity. He is friendly, but does have a tendency to jump up when people want to greet/pet him. We have been working on staying calm, and in a sit or down during people greets. He has improved somewhat over the past couple months.",0
Labrador Retriever,Black,M,MD,Yes,Iams Lamb and Rice,walking/fetching/running,"Irish is a very sweet, intelligent pup and wants to please. He gets very excited when people/children are in close proximity. He is friendly, but does have a tendency to jump up when people want to greet/pet him. We have been working on staying calm, and in a sit or down during people greets. He has improved somewhat over the past couple months.",0
Labrador Retriever,Black,M,MD,Yes,Iams Lamb and Rice,walking/fetching/running,"Irish is a very sweet, intelligent pup and wants to please. He gets very excited when people/children are in close proximity. He is friendly, but does have a tendency to jump up when people want to greet/pet him. We have been working on staying calm, and in a sit or down during people greets. He has improved somewhat over the past couple months.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, tug, fetch, playing with other dogs","If comparing Irish to his half-brothers, his personality reminds me less of Logan at this age, and more of Garth.   Irish exudes confidence, eagerness to learn and please.   Irish is not low energy like Logan, he as a normal active energy level and self-modulates well.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, tug, fetch, playing with other dogs","If comparing Irish to his half-brothers, his personality reminds me less of Logan at this age, and more of Garth.   Irish exudes confidence, eagerness to learn and please.   Irish is not low energy like Logan, he as a normal active energy level and self-modulates well.",0
Labrador Retriever,Black,M,OH,Yes,Iams,"walks, tug, fetch, playing with other dogs","If comparing Irish to his half-brothers, his personality reminds me less of Logan at this age, and more of Garth.   Irish exudes confidence, eagerness to learn and please.   Irish is not low energy like Logan, he as a normal active energy level and self-modulates well.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams,"Walking, fetching","Ingot is a very smart, curious and generally willing pup.  He loves people and gets along well with other dogs.  We have struggled with picking up inappropriate things (shoes, socks) but now this rarely happens.  He learns very quickly but is sometimes slow to respond.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams,"Walking, fetching","Ingot is a very smart, curious and generally willing pup.  He loves people and gets along well with other dogs.  We have struggled with picking up inappropriate things (shoes, socks) but now this rarely happens.  He learns very quickly but is sometimes slow to respond.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams,"Walking, fetching","Ingot is a very smart, curious and generally willing pup.  He loves people and gets along well with other dogs.  We have struggled with picking up inappropriate things (shoes, socks) but now this rarely happens.  He learns very quickly but is sometimes slow to respond.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams Puppy,"Walking, Playing in Yard","Ingot was a home change just over two weeks ago.  He will be attending his first class with me tomorrow.  He is a very confident, bold and energetic puppy.  He is very smart and learns quickly.  He has very nice name response, but I would like to see better check ins - often very distracted.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams Puppy,"Walking, Playing in Yard","Ingot was a home change just over two weeks ago.  He will be attending his first class with me tomorrow.  He is a very confident, bold and energetic puppy.  He is very smart and learns quickly.  He has very nice name response, but I would like to see better check ins - often very distracted.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams Puppy,"Walking, Playing in Yard","Ingot was a home change just over two weeks ago.  He will be attending his first class with me tomorrow.  He is a very confident, bold and energetic puppy.  He is very smart and learns quickly.  He has very nice name response, but I would like to see better check ins - often very distracted.",0
Labrador Retriever,Black,F,OH,Yes,Iam's Lamb and Rice,"walk, group play with other GEB pups, tread mill","Iris was doing much better with regards to barking when she came home from her puppy swap with Leslie Stevens.  But after being back home for a few weeks, she has started barking again on occasion.  When I leave her in the car to go into a store, in class  or out in public when she doesn't want to settle. She doesn't demand bark at home.",0
Labrador Retriever,Black,F,OH,Yes,Iam's Lamb and Rice,"walk, group play with other GEB pups, tread mill","Iris was doing much better with regards to barking when she came home from her puppy swap with Leslie Stevens.  But after being back home for a few weeks, she has started barking again on occasion.  When I leave her in the car to go into a store, in class  or out in public when she doesn't want to settle. She doesn't demand bark at home.",0
Labrador Retriever,Black,F,OH,Yes,"Purina Puppy Chow for a while, but just transitioned back to Iams Smart Puppy Large Breed","Walks, Group play with other GEB dogs when we get the chance (none recently due to the holidays)","I am mostly pleased with Iris's progress. The two areas that I  am currently concerned about are  1) stairs and 2) barking.   I think Iris was doing well on stairs until just recently. Now, she is either tentative, or rushing, bunny hopping - everything but calm. I have gone back to phase 1.  I appreciate the videos. It's great to have resources to refer to. On the other hand, I don't think I have the skills to deal with barking. I was glad to see the issue will be addressed this year. I hope it happens soon!  I don't think Iris barking is excessive, but I am not comfortable with it. I feel myself tense up (especially in places like the mall). ",0
Labrador Retriever,Black,F,OH,Yes,"Purina Puppy Chow for a while, but just transitioned back to Iams Smart Puppy Large Breed","Walks, Group play with other GEB dogs when we get the chance (none recently due to the holidays)","I am mostly pleased with Iris's progress. The two areas that I  am currently concerned about are  1) stairs and 2) barking.   I think Iris was doing well on stairs until just recently. Now, she is either tentative, or rushing, bunny hopping - everything but calm. I have gone back to phase 1.  I appreciate the videos. It's great to have resources to refer to. On the other hand, I don't think I have the skills to deal with barking. I was glad to see the issue will be addressed this year. I hope it happens soon!  I don't think Iris barking is excessive, but I am not comfortable with it. I feel myself tense up (especially in places like the mall). ",0
Labrador Retriever,Black,F,OH,Yes,Iams Lamb and Rice,"Walks, Group play with other GEB pups, tread mill","I have been keeping Iris under closer supervision in the house and giving her more crate time to eliminate her opening closets and stealing objects and running with them. We are working on settling and maintaining control around distractions, especially other dogs and new people. Iris still gets activated, barks at me, jumps at me, grabs my clothes or my hands or arms and tries to nip at me or pinch me with her teeth.  Iris and I have been taking advantage of weekly training sessions with Leslie Stevens and her pup Freya.",0
Labrador Retriever,Black,F,OH,Yes,Iams Lamb and Rice,"Walks, Group play with other GEB pups, tread mill","I have been keeping Iris under closer supervision in the house and giving her more crate time to eliminate her opening closets and stealing objects and running with them. We are working on settling and maintaining control around distractions, especially other dogs and new people. Iris still gets activated, barks at me, jumps at me, grabs my clothes or my hands or arms and tries to nip at me or pinch me with her teeth.  Iris and I have been taking advantage of weekly training sessions with Leslie Stevens and her pup Freya.",0
Labrador Retriever,Black,F,MD,Yes,Kirkland's Puppy Food,"Walks, playing in fenced in yard with people, fetch.",Imogene is growing older and is able to do a lot more.  Her attention span is growing and she is more attentive and bonded to us.  Her house training is very good.  She was just to the vets and responded well.  I am looking forward to working to teach her more as she seems more able to do more than just a couple of week ago.,0
Labrador Retriever,Black,F,MD,Yes,Nature's Domain (Costco),"Fenced in yard, walks and outings",Imogene is doing really good.,0
Labrador Retriever,Black,F,MD,Yes,Kirkland's Puppy Food,"Walks, playing in fenced in yard with people, fetch.",,0
Labrador Retriever,Black,F,VA,Yes,IAMS Lamb and Rice,"Walks, Play with family members or dog, outings",Main concerns  People greetings Avoiding red zones Sleeping a little later in the morning and not barking in kennel ,0
Labrador Retriever,Black,F,VA,Yes,IAMS Lamb and Rice,"Walks, Play with family members or dog, outings",Main concerns  People greetings Avoiding red zones Sleeping a little later in the morning and not barking in kennel ,0
Labrador Retriever,Black,F,VA,Yes,IAMS Lamb and Rice,"Walks, Play with family members or dog, outings",Main concerns  People greetings Avoiding red zones Sleeping a little later in the morning and not barking in kennel ,0
Labrador Retriever,Black,F,VA,Yes,Iams Lamb and Rice,long leash/ball and tug/ play with family dog/ walks around neighborhood,My concerns for Idora are her persistent play biting (mouthy) and people greetings.  When she is aroused she gets very mouthy ,0
Labrador Retriever,Black,F,VA,Yes,Iams Lamb and Rice,long leash/ball and tug/ play with family dog/ walks around neighborhood,My concerns for Idora are her persistent play biting (mouthy) and people greetings.  When she is aroused she gets very mouthy ,0
Labrador Retriever,Black,F,VA,Yes,Iams Lamb and Rice,long leash/ball and tug/ play with family dog/ walks around neighborhood,My concerns for Idora are her persistent play biting (mouthy) and people greetings.  When she is aroused she gets very mouthy ,0
Labrador Retriever,Black,F,VA,Yes,Iams lamb and rice,walking and ball or toys,"My main concerns are people greetings (over excitement), stalling, and getting her to stop excessive sniffing on walks.",0
Labrador Retriever,Black,F,VA,Yes,Iams lamb and rice,walking and ball or toys,"My main concerns are people greetings (over excitement), stalling, and getting her to stop excessive sniffing on walks.",0
Labrador Retriever,Black,F,VA,Yes,Iams lamb and rice,walking and ball or toys,"My main concerns are people greetings (over excitement), stalling, and getting her to stop excessive sniffing on walks.",0
Labrador Retriever,Yellow,F,CT,Yes,iams,"two walks per day, play in house",,0
Labrador Retriever,Yellow,F,CT,Yes,Iams Puppy Chow - Large Breed,"Walks, rough play, command work",,0
Labrador Retriever,Yellow,F,CT,Yes,Iams Adult Lamb and Rice,"Walking, play, running",She is getting really good. She is great with commands and is getting better and better on walks. As we mentioned during your visit we have some issues with house manners. I think after our visit we have started to see some improvement. Not giving her treats has really helped as she is getting less frustrated when the treats stop. She is responding well to praise instead.,0
Labrador Retriever,Black,F,CT,Yes,Iams Puppy (1-12 mo formula),Walking/Hiking,We were dealing with separation anxiety with Ibbie and she was improving as we made changes per Maureen's suggestion. She is now in heat and we feel that as she is coming out of it she is starting to work and behave better.,0
Labrador Retriever,Black,F,CT,Yes,Iams Puppy (1-12 mo formula),Walking/Hiking,We were dealing with separation anxiety with Ibbie and she was improving as we made changes per Maureen's suggestion. She is now in heat and we feel that as she is coming out of it she is starting to work and behave better.,0
Labrador Retriever,Black,F,CT,Yes,Iams Puppy (1-12 mo formula),"Walks, catching frisbees, chasing after tennis balls or playing with our other dog",,0
Labrador Retriever,Black,F,CT,Yes,Iams Puppy (1-12 mo formula),"Walks, catching frisbees, chasing after tennis balls or playing with our other dog",,0
Labrador Retriever,Black,F,CT,Yes,natures variety,lots of walks and play time,She has a lot of potential but needs a lot of reinforcement.  Taking over a dog's training from another family has been more challenging than expected.  She has a tremendous amount of energy in the am and seems to need more exercise than the other dogs we have had.  She is sweet and a good dog but needs to be watched more closely than expected.  I still think she will make a good guide dog as her confidence level is high and she is not fearful of new things at all.,0
Labrador Retriever,Black,F,CT,Yes,natures variety,lots of walks and play time,She has a lot of potential but needs a lot of reinforcement.  Taking over a dog's training from another family has been more challenging than expected.  She has a tremendous amount of energy in the am and seems to need more exercise than the other dogs we have had.  She is sweet and a good dog but needs to be watched more closely than expected.  I still think she will make a good guide dog as her confidence level is high and she is not fearful of new things at all.,0
Labrador Retriever,Yellow,F,CT,Yes,iams,"Walks, ball throwing","Honor has not been well behaved in class. She was well behaved for the 1st time during last weeks class, ",0
Labrador Retriever,Yellow,F,CT,Yes,Iams,"walks, play session other dogs",Honor is needy of attention more than any dog I have seen.,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,"Walking, playing",,0
Labrador Retriever,Yellow,M,MA,Yes,Iams,"Walking, running, fetching",,0
Labrador Retriever,Yellow,M,NY,Yes,iams,walks and playing in fenced in backyard,,0
Labrador Retriever,Yellow,M,NY,Yes,Iams,"walks, runs, playing",,0
Labrador Retriever,Black,M,VT,Yes,Iams Puppy Chow,"Running in fenced-in yard, play dates with other dogs, walks",,0
Labrador Retriever,Black,M,Vermont,Yes,Iams Lamb and Rice,"Walks, puppy play, beach runs, fenced-in open runs",In general he is a great pup with a fantastic temperament. Since the move the biggest issues I'm seeing again are:1 - jumping on people2 - nail clipping3 - picking up things he shouldn't in the house4 - maybe kenneling - sometimes he is super stubborn about it unless a food reward is promised.,0
Labrador Retriever,Black,M,VT,Yes,Iams Lamb and Rice,"Walks, running in back yard, playing in lake, puppy play",,0
Labrador Retriever,Yellow,M,NY,Yes,Iams Lamb and Rice,"walking, playtime","Howard is a happy, healthy, loving well adjusted puppy who has matured well in the last few months. He is a pleasure to raise, and a joy to have around.",0
Labrador Retriever,Yellow,M,NY,Yes,Iams Lamb and Rice,"walking, playtime","Howard is a happy, healthy, loving well adjusted puppy who has matured well in the last few months. He is a pleasure to raise, and a joy to have around.",0
Labrador Retriever,Black,F,NY,Yes,Iams pup,supervised play with family dog. out for walks on long line.,,0
Labrador Retriever,Black,F,NY,Yes,Iams adult,"playing with household dog, run outside on longline 2-3 times a day",she is a very good worker. wants to please. VERY attached to her raiser though.....we try to have her puppy sat often.,0
Labrador Retriever,Black,F,NY,Yes,Iams,"60 ft tie out to play outside with toys, kiddie pool and our dog",,0
Labrador Retriever,Yellow,F,NY,Yes,IAMS puppy chow,"walks, dog play, house play w people",She's cool! I am working on the licking she like to do when my feet or legs are bare. YUCK!! other than that she's a pretty nice dog.,0
Labrador Retriever,Yellow,F,NY,Yes,Natural Balance LID Fish and Sweet Potatoe,"walks, off leash BDA, yard paly with dogs","Grammy is very pleasant company. she can behave very silly around some of her favorite people, like Helen and Jill, but for the most part she is very calm and and easy going with us. Even when she does paly and gets wound up, she is very easy to bring back to a calm working state. She is very easy to teach new things to.What a love!",0
Labrador Retriever,Yellow,F,NY,Yes,IAMS naturals,"walking, dog play, human & dog play; frisbee, ball etc","She is really a pleasure. Grammy sometimes is concerned about windblown objects or other things she may not understand. She was concerned about the garden hose reel that appeared in the yard. But she will approach and explore if not pushed a lot, and then is fine. No compressing or avoidance, just mild concern, and then she's over it.",0
Labrador Retriever,Yellow,M,VA,Yes,iams,walking and playing,,0
Labrador Retriever,Yellow,M,VA,Yes,iams,walking and playing,,0
Labrador Retriever,Yellow,M,VA,Yes,Iam's,"beach, walks, ball",Gretzky is my fourth dog with GEB.  He's simply awesome.  He has so much potential.  I can't think of a single problem I have with him.  He never barks.  His temperament is excellent.  He's incredible with children.  He generally stays calm even around other animals.  He's just such an awesome dog and has been a pleasure to train.,0
Labrador Retriever,Yellow,M,VA,Yes,Iam's,"beach, walks, ball",Gretzky is my fourth dog with GEB.  He's simply awesome.  He has so much potential.  I can't think of a single problem I have with him.  He never barks.  His temperament is excellent.  He's incredible with children.  He generally stays calm even around other animals.  He's just such an awesome dog and has been a pleasure to train.,0
Labrador Retriever,Yellow,M,VA,Yes,Iams,Walking/beach/other dogs,"Gretzky is a really great dog. He's the 4th dog I've raised for GEB. We've been working on body handling recently and lifting him on to small places to sit. He's a low energy dog, but really enjoys being with his family. ",0
Labrador Retriever,Yellow,M,VA,Yes,Iams,Walking/beach/other dogs,"Gretzky is a really great dog. He's the 4th dog I've raised for GEB. We've been working on body handling recently and lifting him on to small places to sit. He's a low energy dog, but really enjoys being with his family. ",0
Labrador Retriever,Yellow,F,NY,Yes,Iams lamb and rice,Walking/ playing in yard,Does extremely well with puppy sitters and swap. Adapts quickly to new surroundings and other pets and routines. Really struggling with controlling her around other dogs.,0
Labrador Retriever,Yellow,F,NY,Yes,Iams,Walking,Gianna is a very well behaved puppy except when other dogs are around and she gets overly excited,0
Labrador Retriever,Black,F,CT,Yes,Iams  Proactive Health Adult Minichunks,"Takes walks, plays with toys & balls in yard",,0
Labrador Retriever,Black,F,CT,Yes,Iams  Proactive Health Adult Minichunks,"Takes walks, plays with toys & balls in yard",,0
Labrador Retriever,Black,F,CT,Yes,Iams Smart Puppy,running in yard & playng ball,,0
Labrador Retriever,Black,F,CT,Yes,Iams Smart Puppy,running in yard & playng ball,,0
Labrador Retriever,Black,F,CT,Yes,Iams Proactive Health,takes walks and plays in yard and at park,,0
Labrador Retriever,Black,F,CT,Yes,Iams Proactive Health,takes walks and plays in yard and at park,,0
